Variety,Flowering Date
R16 ,23/10
B59 ,16/10
J20 ,7/10
L33 ,10/10
H17 ,18/10
K27 ,8/10
S44 ,19/10
L19 ,10/10
S43 ,30/10
B60 ,26/10
K24 ,18/10
J13 ,23/10
W06 ,03/11
AA14 ,12/10
AA01 ,20/9
J19 ,13/10
AA11 ,29/10
A03 ,23/10
G02 ,20/9
C02 ,25/9
AA16 ,16/10
W04 ,7/10
A01 ,1/10
AA11 ,29/10
J13 ,23/10
AA08 ,6/10
A07 ,14/10
C15 ,17/10
DD15 ,23/10
DD22 ,12/10
K52 ,20/10
N10 ,12/10
M34 ,2/10
M36 ,27/10
P26 ,20/10
N18 ,17/10
H11 ,15/10
L16 ,11/10
C11 ,24/10
B35 ,4/10
W02 ,9/10
C10 ,16/10
K15 ,3/10
Q11 ,15/10
S51 ,5/10
M17 ,16/10
L18 ,12/10
TT04 ,4/10
O02 ,28/10
DD10 ,06/10
DD17 ,15/10
C09 ,18/10
G11 ,22/10
K16 ,8/10
K31 ,18/10
N12 ,8/10
DD19 ,29/10
L07 ,7/10
W08 ,16/10
TT03 ,26/10
K103 ,20/10
C19 ,10/10
H14 ,23/10
L22 ,27/10
L38 ,18/10
K81 ,21/10
L04 ,4/10
L30 ,18/10
P23 ,25/10
M22 ,18/10
TT06 ,13/10
B53 ,20/10
J15 ,15/10
W04 ,7/10
J09 ,2/10
L14 ,14/10
Y02 ,10/10
DD13 ,15/10
K33 ,8/10
L14 ,14/10
L03 ,10/10
M14 ,15/10
TT02 ,28/10
M12 ,17/10
